q 1 2 3
q 1 15 7
a 122 1 4 1 8 1 9 1 10 1 11 1 13 2 1 2 3 2 4 2 8 2 9 2 10 2 11 2 12 2 13 2 14 2 15 2 16 3 1 3 2 3 3 3 4 3 5 3 8 3 9 3 10 3 11 3 12 3 13 3 14 3 15 3 16 3 17 4 3 4 4 4 5 4 9 4 10 4 11 4 12 4 13 4 14 5 2 5 3 5 4 5 10 5 11 5 13 6 2 6 3 6 4 6 7 6 13 7 1 7 2 7 3 7 4 7 5 7 6 7 7 7 17 8 1 8 2 8 3 8 7 8 8 8 9 8 16 8 17 9 1 9 3 9 4 9 7 9 8 9 9 9 16 9 17 9 18 10 3 10 10 10 11 10 16 10 18 11 10 11 11 11 16 12 11 12 15 13 5 13 6 13 11 13 15 14 5 14 6 14 7 14 15 14 16 14 17 15 3 15 4 15 5 15 6 15 7 15 17 16 5 16 7 16 8 16 14 16 17 16 19 17 12 17 13 17 14 17 15 17 17 17 18 17 19 18 14 18 15 18 18 18 19 19 18
q 1 3 14
q 1 14 13
q 1 11 12
q 1 5 14
q 1 10 9
q 1 10 3
q 1 4 5
q 1 14 7
q 1 17 2
q 1 3 7
q 1 8 10
q 1 14 15
q 1 14 3
q 1 2 6
q 1 8 6
q 1 16 11
q 1 6 16
q 1 2 11
q 1 16 12
q 1 14 14
q 1 15 11
q 1 14 9
q 1 8 11
q 1 11 11
q 1 14 5
q 1 10 13
q 1 10 15
q 1 7 3
q 1 16 3
q 1 4 9
q 1 15 10
q 1 8 14
q 1 3 13
q 1 15 16
q 1 5 4
q 1 16 4
q 1 6 11
q 1 8 18
q 1 9 10
q 1 12 11
q 1 12 12
q 1 3 3
q 1 5 11
q 1 6 8
q 1 9 11
q 1 3 16
q 1 7 11
q 1 8 12
q 1 12 6
q 1 13 16
q 1 3 9
q 1 13 3
q 1 17 16
q 1 6 10
q 1 14 2
q 1 17 5
q 1 16 13
q 1 17 11
q 1 17 7
q 1 2 5
q 1 16 17
q 1 2 7
q 1 2 16
q 1 9 8
q 1 16 18
q 1 16 2
q 1 5 10
q 1 18 12
q 1 17 3
q 1 17 8
q 1 18 11
q 1 16 15
q 1 16 8
q 1 17 9
q 1 17 14
q 1 17 6
q 1 17 13
q 1 7 1
q 1 17 12
q 1 11 8
q 1 12 18
q 1 18 10
q 1 15 13
q 1 12 4
q 1 15 17
q 1 12 17
q 1 7 10
q 1 5 12
q 1 10 10
q 1 4 17
q 1 5 9
q 1 16 14
q 1 4 10
q 1 2 2
q 1 6 9
q 1 16 7
q 1 12 2
q 1 16 9
q 1 15 12
q 1 18 13
q 1 15 18
q 1 17 17
q 1 6 12
q 1 9 5
q 1 18 5
q 1 10 5
q 1 9 4
q 1 17 1
q 1 11 14
q 1 16 16
q 1 18 3
q 1 11 13
q 1 4 11
q 1 8 15
q 1 8 5
q 1 11 5
q 1 15 15
q 1 9 2
q 1 12 13
q 1 4 8
q 1 18 8
q 1 18 6
q 1 14 17
q 1 7 7
q 1 11 18
q 1 15 8
q 1 6 7
q 1 4 12
q 1 10 6
q 1 16 6
q 1 13 10
q 1 11 4
q 1 11 16
q 1 18 2
q 1 14 18
q 1 8 4
q 1 16 5
q 1 15 19
q 1 3 10
q 1 13 18
q 1 6 5
q 1 15 9
q 1 14 8
q 1 17 18
q 1 10 18
q 1 17 15
q 1 15 14
q 1 16 10
q 1 4 7
q 1 8 8
q 1 5 7
q 1 14 11
q 1 17 4
q 1 3 12
q 1 3 8
q 1 1 5
q 1 3 6
q 1 18 7
q 1 18 14
q 1 5 2
q 1 14 10
q 1 8 9
q 1 1 17
q 1 13 11
q 1 1 10
q 1 12 9
q 1 5 8
q 1 14 16
q 1 17 10
q 1 3 11
q 1 13 4
q 1 14 19
q 1 18 15
q 1 1 4
q 1 15 3
q 1 6 13
q 1 18 4
q 1 5 18
q 1 15 2
q 1 10 12
q 1 1 3
q 1 15 4
q 1 1 1
q 1 13 8
q 1 2 14
q 1 1 7
q 1 11 15
q 1 2 13
q 1 15 6
q 1 15 1
q 1 16 19
q 1 13 15
q 1 14 12
q 1 12 3
q 1 10 1
q 1 13 7
q 1 13 9
q 1 13 5
q 1 13 6
q 1 2 4
q 1 12 5
q 1 6 1
q 1 8 7
q 1 2 8
q 1 10 17
q 1 19 2
q 1 12 10
q 1 15 5
q 1 4 4
q 1 19 8
q 1 7 4
q 1 16 1
q 1 9 12
q 1 7 8
q 1 13 17
q 1 9 7
q 1 13 2
q 1 4 15
q 1 1 15
q 1 3 5
q 1 10 8
q 1 19 3
q 1 1 18
q 1 11 10
q 1 19 12
q 1 19 15
q 1 7 6
q 1 11 7
q 1 9 6
q 1 9 9
q 1 7 9
q 1 1 12
q 1 13 19
q 1 18 16
q 1 9 16
q 1 9 17
q 1 7 12
q 1 16 0
q 1 0 4
q 1 7 17
q 1 11 17
q 1 4 6
q 1 11 3
q 1 18 1
q 1 18 9
q 1 19 4
q 1 3 18
q 1 13 14
q 1 0 5
q 1 13 12
q 1 10 11
q 1 17 19
q 1 3 1
q 1 5 6
q 1 19 5
q 1 17 0
q 1 6 19
q 1 10 14
q 1 19 11
q 1 12 8
q 1 0 14
q 1 13 13
q 1 8 19
q 1 9 14
q 1 10 16
q 1 5 13
q 1 14 0
q 1 11 0
q 1 7 5
q 1 6 2
q 1 10 4
q 1 0 13
q 1 8 16
q 1 1 19
q 1 11 1
q 1 9 3
q 1 0 0
q 1 1 6
q 1 6 6
q 1 18 17
q 1 6 14
q 1 1 13
q 1 1 14
