    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/tester ../a.out`
Iteration: 10000, Current cost: 121686, Best cost: 120455, max_g_num: 9, Temp: 124.032189 
Iteration: 20000, Current cost: 119069, Best cost: 117404, max_g_num: 9, Temp: 118.911578 
Iteration: 30000, Current cost: 119280, Best cost: 117042, max_g_num: 8, Temp: 112.944881 
Iteration: 40000, Current cost: 117029, Best cost: 115326, max_g_num: 8, Temp: 108.290500 
Iteration: 50000, Current cost: 115180, Best cost: 115031, max_g_num: 8, Temp: 102.696510 
Iteration: 60000, Current cost: 116074, Best cost: 114878, max_g_num: 7, Temp: 95.918561 
Iteration: 70000, Current cost: 114534, Best cost: 114088, max_g_num: 7, Temp: 89.150607 
Iteration: 80000, Current cost: 113243, Best cost: 113243, max_g_num: 7, Temp: 83.651802 
Iteration: 90000, Current cost: 110931, Best cost: 110807, max_g_num: 6, Temp: 78.924642 
Iteration: 100000, Current cost: 110729, Best cost: 110558, max_g_num: 6, Temp: 74.136809 
Iteration: 110000, Current cost: 110660, Best cost: 110433, max_g_num: 6, Temp: 69.122778 
Iteration: 120000, Current cost: 110178, Best cost: 109187, max_g_num: 5, Temp: 63.442462 
Iteration: 130000, Current cost: 108758, Best cost: 108758, max_g_num: 5, Temp: 58.338240 
Iteration: 140000, Current cost: 108992, Best cost: 108350, max_g_num: 5, Temp: 52.291544 
Iteration: 150000, Current cost: 108978, Best cost: 108350, max_g_num: 4, Temp: 47.288020 
Iteration: 160000, Current cost: 108847, Best cost: 107958, max_g_num: 4, Temp: 42.468734 
Iteration: 170000, Current cost: 107830, Best cost: 107767, max_g_num: 4, Temp: 37.820771 
Iteration: 180000, Current cost: 107944, Best cost: 107647, max_g_num: 3, Temp: 31.520659 
Iteration: 190000, Current cost: 107870, Best cost: 107472, max_g_num: 3, Temp: 26.867475 
Iteration: 200000, Current cost: 107623, Best cost: 107472, max_g_num: 3, Temp: 21.510239 
Iteration: 210000, Current cost: 107568, Best cost: 107472, max_g_num: 2, Temp: 16.842525 
Iteration: 220000, Current cost: 107424, Best cost: 107394, max_g_num: 2, Temp: 11.833279 
Iteration: 230000, Current cost: 107329, Best cost: 107326, max_g_num: 2, Temp: 6.110783 
Iteration: 238954, Best cost: 107326 
Score = 133264
