    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target/release/tester ../a.out`
Iteration: 10000, Current cost: 156028, Best cost: 151042, max_g_num: 9, Temp: 124.139760 
Iteration: 20000, Current cost: 154890, Best cost: 151042, max_g_num: 9, Temp: 118.493242 
Iteration: 30000, Current cost: 152772, Best cost: 150974, max_g_num: 8, Temp: 111.491870 
Iteration: 40000, Current cost: 151676, Best cost: 149502, max_g_num: 8, Temp: 104.653974 
Iteration: 50000, Current cost: 149822, Best cost: 149084, max_g_num: 8, Temp: 98.838555 
Iteration: 60000, Current cost: 147732, Best cost: 147256, max_g_num: 7, Temp: 92.615425 
Iteration: 70000, Current cost: 148382, Best cost: 146641, max_g_num: 7, Temp: 85.834258 
Iteration: 80000, Current cost: 146842, Best cost: 146519, max_g_num: 6, Temp: 79.456706 
Iteration: 90000, Current cost: 146352, Best cost: 145471, max_g_num: 6, Temp: 73.726633 
Iteration: 100000, Current cost: 145200, Best cost: 144999, max_g_num: 6, Temp: 68.080908 
Iteration: 110000, Current cost: 145080, Best cost: 144793, max_g_num: 5, Temp: 60.422392 
Iteration: 120000, Current cost: 145209, Best cost: 144518, max_g_num: 5, Temp: 54.571709 
Iteration: 130000, Current cost: 143529, Best cost: 143493, max_g_num: 4, Temp: 47.600320 
Iteration: 140000, Current cost: 142726, Best cost: 142671, max_g_num: 4, Temp: 41.084161 
Iteration: 150000, Current cost: 142249, Best cost: 142184, max_g_num: 4, Temp: 33.950018 
Iteration: 160000, Current cost: 142034, Best cost: 141894, max_g_num: 3, Temp: 27.770699 
Iteration: 170000, Current cost: 141773, Best cost: 141773, max_g_num: 3, Temp: 21.574636 
Iteration: 180000, Current cost: 141544, Best cost: 141544, max_g_num: 2, Temp: 15.045195 
Iteration: 190000, Current cost: 141461, Best cost: 141461, max_g_num: 2, Temp: 7.942436 
Iteration: 200000, Current cost: 141461, Best cost: 141461, max_g_num: 2, Temp: 1.576706 
Iteration: 201068, Best cost: 141461 
Score = 393674
