    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.12s
     Running `target/release/tester ../a.out`
Iteration: 10000, Current cost: 154348, Best cost: 151659, max_g_num: 9, Temp: 123.430782 
Iteration: 20000, Current cost: 153852, Best cost: 151218, max_g_num: 9, Temp: 115.325064 
Iteration: 30000, Current cost: 150189, Best cost: 150036, max_g_num: 8, Temp: 109.125638 
Iteration: 40000, Current cost: 149733, Best cost: 148307, max_g_num: 8, Temp: 102.586270 
Iteration: 50000, Current cost: 146251, Best cost: 146114, max_g_num: 7, Temp: 96.762036 
Iteration: 60000, Current cost: 148422, Best cost: 146114, max_g_num: 7, Temp: 89.416607 
Iteration: 70000, Current cost: 149148, Best cost: 146114, max_g_num: 7, Temp: 83.123153 
Iteration: 80000, Current cost: 145455, Best cost: 144957, max_g_num: 6, Temp: 75.509077 
Iteration: 90000, Current cost: 145057, Best cost: 144312, max_g_num: 6, Temp: 68.076414 
Iteration: 100000, Current cost: 144612, Best cost: 144227, max_g_num: 5, Temp: 62.024693 
Iteration: 110000, Current cost: 143114, Best cost: 143114, max_g_num: 5, Temp: 54.789014 
Iteration: 120000, Current cost: 142170, Best cost: 142128, max_g_num: 4, Temp: 47.585908 
Iteration: 130000, Current cost: 142014, Best cost: 141738, max_g_num: 4, Temp: 41.841298 
Iteration: 140000, Current cost: 141658, Best cost: 141658, max_g_num: 4, Temp: 34.103613 
Iteration: 150000, Current cost: 141610, Best cost: 141497, max_g_num: 3, Temp: 27.645266 
Iteration: 160000, Current cost: 141300, Best cost: 141281, max_g_num: 3, Temp: 21.298077 
Iteration: 170000, Current cost: 140947, Best cost: 140947, max_g_num: 2, Temp: 14.185201 
Iteration: 180000, Current cost: 140947, Best cost: 140935, max_g_num: 2, Temp: 6.532833 
Iteration: 186897, Best cost: 140836 
Score = 227443
