q 1 8 15
a 85 1 2 2 0 2 1 2 2 2 3 2 11 2 12 3 1 3 2 3 4 3 5 3 11 3 12 4 2 4 3 4 4 4 5 4 12 5 4 5 16 5 17 5 18 5 19 6 3 6 4 6 6 6 13 6 14 6 17 6 18 7 6 7 7 7 8 7 13 7 14 7 15 7 16 7 17 7 18 7 19 8 4 8 5 8 6 8 7 8 11 8 12 8 13 8 15 9 11 11 9 11 10 11 11 12 6 12 11 13 6 13 7 13 11 14 3 14 4 14 5 14 6 14 7 15 2 15 3 15 4 15 10 15 11 15 12 15 15 15 16 15 17 16 1 16 2 16 8 16 9 16 10 16 11 16 17 16 18 17 8 17 9 17 11 18 6 18 7 18 8
q 1 7 6
q 1 3 12
q 1 12 14
q 1 10 16
q 1 2 14
q 1 6 16
q 1 11 11
q 1 15 13
q 1 5 12
q 1 14 6
q 1 17 17
q 1 2 9
q 1 2 12
q 1 1 3
q 1 16 6
q 1 7 14
q 1 4 10
q 1 1 9
q 1 11 15
q 1 2 4
q 1 4 4
q 1 14 3
q 1 11 7
q 1 10 13
q 1 3 8
q 1 13 8
q 1 16 9
q 1 12 5
q 1 5 1
q 1 1 5
q 1 13 12
q 1 3 17
q 1 7 3
q 1 17 15
q 1 9 11
q 1 13 1
q 1 17 11
q 1 9 18
q 1 11 1
q 1 18 3
q 1 13 16
q 1 7 11
q 1 6 8
q 1 18 7
q 1 9 4
q 1 14 9
q 1 1 16
q 1 9 2
q 1 9 10
q 1 16 15
q 1 9 8
q 1 3 2
q 1 5 16
q 1 12 17
q 1 11 17
q 1 5 5
q 1 6 2
q 1 3 14
q 1 18 12
q 1 2 11
q 1 4 7
q 1 2 6
q 1 16 3
q 1 12 10
q 1 6 3
q 1 3 13
q 1 3 16
q 1 4 14
q 1 11 5
q 1 5 13
q 1 14 17
q 1 18 9
q 1 2 17
q 1 3 15
q 1 6 4
q 1 4 17
q 1 9 15
q 1 2 10
q 1 8 6
q 1 16 18
q 1 17 5
q 1 16 1
q 1 3 18
q 1 7 2
q 1 4 15
q 1 8 16
q 1 1 11
q 1 15 1
q 1 8 13
q 1 1 12
q 1 14 14
q 1 1 2
q 1 9 16
q 1 13 4
q 1 17 1
q 1 12 8
q 1 7 17
q 1 8 14
q 1 5 18
q 1 1 7
q 1 3 11
q 1 4 11
q 1 15 11
q 1 4 13
q 1 15 8
q 1 5 9
q 1 14 1
q 1 4 18
q 1 17 2
q 1 9 13
q 1 6 9
q 1 5 17
q 1 11 3
q 1 13 14
q 1 7 9
q 1 9 14
q 1 13 18
q 1 12 18
q 1 2 3
q 1 10 15
q 1 2 13
q 1 7 8
q 1 1 18
q 1 5 15
q 1 4 16
q 1 6 10
q 1 18 14
q 1 3 10
q 1 8 12
q 1 6 18
q 1 10 9
q 1 15 16
q 1 10 6
q 1 8 1
q 1 12 19
q 1 12 2
q 1 2 15
q 1 18 17
q 1 16 12
q 1 3 5
q 1 8 9
q 1 10 14
q 1 0 14
q 1 17 8
q 1 6 14
q 1 4 19
q 1 8 4
q 1 6 6
q 1 18 1
q 1 15 2
q 1 5 3
q 1 1 10
q 1 3 19
q 1 11 13
q 1 2 1
q 1 8 0
q 1 15 0
q 1 5 14
q 1 5 8
q 1 4 12
q 1 10 17
q 1 0 4
q 1 15 5
q 1 8 17
q 1 10 3
q 1 18 4
q 1 14 13
q 1 7 7
q 1 6 15
q 1 14 12
q 1 6 13
q 1 15 19
q 1 0 3
q 1 6 1
q 1 7 15
q 1 7 13
q 1 15 14
q 1 6 12
q 1 8 7
q 1 15 3
q 1 7 12
q 1 14 10
q 1 6 0
q 1 7 1
q 1 2 18
q 1 13 19
q 1 4 1
q 1 5 19
q 1 13 17
q 1 7 0
q 1 7 16
q 1 0 10
q 1 18 10
q 1 17 19
q 1 6 7
q 1 13 6
q 1 2 8
q 1 9 12
q 1 1 13
q 1 9 1
q 1 12 16
q 1 1 4
q 1 12 12
q 1 0 6
q 1 17 13
q 1 16 0
q 1 8 3
q 1 2 19
q 1 14 11
q 1 7 4
q 1 14 19
q 1 2 16
q 1 19 16
q 1 14 15
q 1 11 9
q 1 8 19
q 1 8 2
q 1 0 0
q 1 15 6
q 1 9 6
q 1 17 18
q 1 5 10
q 1 18 6
q 1 0 16
q 1 14 18
q 1 5 2
q 1 12 15
q 1 3 9
q 1 4 5
q 1 0 11
q 1 11 14
q 1 4 6
q 1 3 4
q 1 5 6
q 1 6 11
q 1 5 0
q 1 7 10
q 1 15 9
q 1 3 6
q 1 10 18
q 1 6 5
q 1 11 16
q 1 16 2
q 1 15 12
a 82 8 15 3 12 10 16 2 9 2 12 1 3 2 4 3 17 7 3 12 17 6 2 3 14 2 11 6 3 3 13 3 16 4 14 3 15 4 17 9 15 2 10 16 1 3 18 4 15 8 16 1 11 15 1 8 13 14 14 17 1 8 14 5 18 3 11 4 11 5 9 4 18 9 13 6 9 7 9 9 14 13 18 12 18 10 15 2 13 7 8 5 15 4 16 8 1 10 14 6 14 4 19 6 6 15 2 3 19 5 14 0 4 14 13 7 7 6 15 14 12 6 13 6 1 7 15 7 13 6 12 6 0 7 1 13 19 7 0 1 4 8 3 14 19 14 15 8 2 4 5 4 6 3 4 5 6 6 11 6 5 16 2 15 12
